subject_id,__dataset__,bicep,pred_bicep,err_bicep,forearm,pred_forearm,err_forearm,thigh,pred_thigh,err_thigh,calf,pred_calf,err_calf,mean_err
7UZuaEb_MZocyFulIycwK91lB54gCnBQBVxEEIozBTA,testB,31.2398,36.3917,16.4915,27.5893,31.7854,15.2091,54.1484,64.8484,19.7605,35.8252,44.8696,25.2461,19.1768
6yP1-b5Xwyrks-r-LvuIgt4gSkvUu6HbVHds-jHNX0Q,testB,36.345,39.0486,7.439,30.6924,34.1061,11.1221,59.3298,69.5829,17.2816,41.0053,48.1455,17.413,13.3139
6JWWSl4hJ08_707MzdBolsPOvdgW74O4q1U9WVUG4co,testB,35.4617,41.4975,17.0207,31.5726,36.245,14.7987,61.2619,73.9468,20.706,44.8617,51.1649,14.0504,16.644
85pSx8BihvIFzHAXyo4UIMehELIu_6AmakzM7CzmVHc,testB,28.8456,30.7296,6.5312,24.0713,26.84,11.5022,55.5757,54.7588,1.47,36.7357,37.8885,3.1379,5.6603
7BmrrDp9qXfGuZxXJpTZjvJ9gpp5dMYWDQYV8yNxFOM,testB,34.3078,39.3659,14.7433,30.4736,34.3831,12.8291,60.9143,70.1482,15.1589,44.1022,48.5367,10.0551,13.1966
8U4gOvl_8Vxtl_z4R0vCzHlP1yh_zQy3P5UqpXbZYTY,testB,24.5475,22.6887,7.5725,22.8437,19.8169,13.2504,46.7391,40.4302,13.4981,32.6801,27.9743,14.3996,12.1802
6hDHPg9Gl4xq_yiwOERDmD9yYMRDLE9zTuXC3-G82fo,testB,29.8966,30.198,1.0083,24.1386,26.3757,9.2679,52.1616,53.8115,3.163,35.8186,37.2331,3.9491,4.3471
8QGTxvQvOppeq5L8fxdmmwBR09prMO5ukTzaSJ-iyFI,testB,31.2066,30.967,0.7677,28.3044,27.0474,4.4411,54.1825,55.1818,1.8443,36.5079,38.1812,4.5832,2.9091
9UFHG00TNhVCbt815jL-xCLVUPEuUdDO0yHBPjYoAVk,testB,30.2431,29.1473,3.6235,27.76,25.4579,8.2926,57.8638,51.9391,10.2391,42.169,35.9375,14.7774,9.2331
9EaimZrRMF80lcFWZgOgL10d8T21DT0ZJ5fWTxjNYbo,testB,39.876,34.2746,14.047,31.1896,29.9363,4.0183,67.37,61.0758,9.3427,40.724,42.2593,3.7701,7.7945
7dnXejm2Th498ayztH-MQHyk5QQkZhhgC9tTx2aLN7I,testB,31.3704,35.4512,13.0086,27.7278,30.964,11.6713,56.1419,63.1725,12.5228,37.55,43.71,16.4048,13.4019
9IC9WEy5Pe3-L68GBQ2up5wFt93AaC7DRS8oaNiWQbg,testB,32.8829,28.0136,14.808,29.135,24.4678,16.0191,56.6374,49.919,11.8621,39.1608,34.5398,11.8002,13.6224
ADrQjvM6I-RSGe0_27H4bVrFMcLz3-ZgOX_iDb2D7Wc,testB,38.8607,39.7704,2.3408,28.8226,34.7364,20.5181,76.1881,70.869,6.9815,46.4952,49.0354,5.4633,8.8259
AaEqTg39qkCJ41BcJeiby0-CYzNz0luCsYgL_JvdEoE,testB,29.8761,27.7,7.2838,25.3603,24.1938,4.5995,57.073,49.3601,13.514,37.0786,34.153,7.8902,8.3219
8VDPJXsMB2HMFf8Q86E8ZD9Lc-r4VjBM8Dh5XMLe1iI,testB,36.7562,35.2885,3.9931,29.7062,30.8218,3.7555,69.4017,62.8825,9.3935,42.2485,43.5094,2.9844,5.0316
AQ4chw5ez_DNNqEY0C7iIheOk4DEcyvZX0oDXQN_SZw,testB,29.9847,31.3108,4.4223,29.3155,27.3476,6.7129,56.4242,55.7944,1.1162,40.0931,38.605,3.7117,3.9908
Ag3NIPCk-sgJZu7DK3JisnMnanNCfoR62fTnQjPk1IY,testB,32.393,31.9435,1.3879,27.8876,27.9002,0.0453,53.9213,56.9219,5.5646,35.9042,39.3851,9.6951,4.1732
B0WEf1gfS0toyENhLbi508wjdezEnB4VWUvueSUoYwg,testB,27.1764,28.6138,5.2893,22.9939,24.992,8.6899,50.1429,50.9885,1.6864,36.5946,35.2797,3.5929,4.8146
ApaFHEE8GQXV-xDMQSUSMartSh9dZXXSwBdlntq-ds0,testB,26.697,27.8001,4.1316,24.9974,24.2813,2.865,48.87,49.5385,1.3678,37.3816,34.2764,8.3066,4.1678
9WqMFHDk2TR3-oEDL4YXL_OKUh8OpOnILG4cBw6JBdo,testB,23.4843,25.7107,9.4804,21.9576,22.4563,2.2713,44.3018,45.8153,3.4162,31.1769,31.7003,1.6789,4.2117
C4eUasGyUmouxCn3dW_VQGEmcQZq2H1iQewpHcAnpY4,testB,39.8192,39.4489,0.93,31.4109,34.4557,9.6933,71.5004,70.2962,1.6842,44.3563,48.6391,9.6555,5.4907
BES8fhGYi5ZlydfdUwF42mpmtZ_7LBx9QrQgIVXm9M0,testB,30.6163,29.6621,3.1165,26.0579,25.9077,0.5767,56.2107,52.8566,5.9669,39.7643,36.5723,8.0271,4.4218
BwIaXUO8HI5MpHaVqxuAiZ01pls4gM6FagV9b9ts5WQ,testB,33.809,31.0332,8.2103,27.8645,27.1051,2.7253,52.5882,55.2997,5.1561,36.776,38.2627,4.0428,5.0336
CEKC3G5_9_ADiXbet78JjJBTOosFCi1gVDIPFaiO-HQ,testB,31.3579,30.474,2.8185,27.0582,26.6168,1.6313,53.9032,54.3034,0.7423,39.5315,37.5734,4.9533,2.5364
AcXtVN5DaisfM7J3T6N5F-ZePD30WawSdWJa-8IEPpA,testB,34.603,34.5305,0.2096,30.0383,30.1598,0.4045,56.1303,61.5318,9.6231,38.6372,42.5748,10.1914,5.1071
C8kR58Bg0CKU-zFCa6TrftedwuJcB0fc4668peTaQAI,testB,31.1229,29.5406,5.084,27.4331,25.8015,5.9475,57.72,52.64,8.8011,37.6364,36.4224,3.2256,5.7646
CE5PaY-_MjLeFzqHc1WwCbJjCAM4xva20sWN7MPPLmc,testB,27.1871,24.9794,8.1203,24.267,21.8176,10.0933,52.0616,44.5122,14.5009,37.8071,30.7987,18.5373,12.8129
CfPEXNqdOYjrfMXM6aSmJeLTee7RYB12IbIpvIv85p4,testB,24.8158,26.3429,6.1538,23.8923,23.0086,3.699,46.5551,46.9419,0.8309,34.567,32.4799,6.0381,4.1805
CdGmN49IuFUblUTnOUmDraKKgTn3eC0SpJajr6qRfVQ,testB,24.4336,24.751,1.2989,21.8743,21.6181,1.1711,46.1816,44.1052,4.4963,32.8586,30.5171,7.1261,3.5231
BDQE9C49TtoYtPGOLcINdrufHgoGZpGuMUFJ_StZPMo,testB,29.7327,28.8571,2.9451,24.2459,25.2045,3.9534,52.0817,51.422,1.2667,34.4526,35.5797,3.2715,2.8592
DCv4XY9qnXbJwsYWLdQ_NBn9P_eS1a3CGkIVjCs70r4,testB,31.2852,29.222,6.5947,26.9258,25.5232,5.2089,48.8993,52.0723,6.489,37.2572,36.0297,3.2947,5.3968
D0G8uvIn-DF_BFWEhQnGKam7wgBT87Xk7qOc6J0_gUg,testB,29.8018,27.7196,6.9866,26.9776,24.211,10.2552,51.1054,49.3951,3.3466,39.1108,34.1773,12.6142,8.3007
C_wJrNOhIWpaja4ncvdVenf51_qIKag-7RRYByEfvrg,testB,26.8119,26.7389,0.2721,24.039,23.3545,2.8477,51.9557,47.6476,8.2919,35.582,32.9681,7.346,4.6894
DstnNPfFBk1UKZQfVLGUeuNYj4sSJ8Ne4oeYYNi2r1U,testB,34.5541,28.6044,17.2185,30.4582,24.9838,17.9734,53.4007,50.9718,4.5483,34.1298,35.2682,3.3355,10.7689
C6TvL5HJxoeNycj42LbN9PzqyqlY1mZs3E9O2SbtYMI,testB,30.2897,32.7031,7.9678,28.1906,28.5637,1.3234,51.0664,58.2754,14.117,38.5559,40.3217,4.5798,6.997
DkMNvQQUXi62EQtW1lBt3tXvl-Jmg8M1-aBUYc6z1vc,testB,26.2851,25.8261,1.7465,24.0874,22.5571,6.3529,53.3109,46.0209,13.6745,36.9227,31.8426,13.7588,8.8832
Eg598gtFscEXzCbeeDI1UvyH5V9cpOnDa3of1X7QNdM,testB,30.1012,26.8865,10.6799,27.5634,23.4833,14.8025,54.8166,47.9105,12.5986,40.765,33.15,18.6803,14.1903
CWdfHbHsgGnj5jTc1478UQhGguuciXD5MNEBOtvyB3k,testB,34.3607,34.8875,1.5332,30.3115,30.4716,0.5281,56.6441,62.168,9.752,40.529,43.015,6.1339,4.4868
D00-s_iSFJTuoiceXOtt6DfE-ozZOtePxcy-kZQFrNQ,testB,26.4988,28.0752,5.9492,24.7702,24.5216,1.0035,51.5905,50.0288,3.0271,37.5268,34.6157,7.7574,4.4343
Edo_RWksTNfibAJuEmufmY8tMCVny2eoGJqHU_StuKE,testB,36.1088,32.2293,10.7439,29.0429,28.1498,3.0749,56.8967,57.4311,0.9392,35.7555,39.7375,11.1368,6.4737
En8QLW576zUomiqKqmbnAbRoQLtVzGaUNRt5zzNBYjM,testB,28.8554,30.5605,5.9091,25.1417,26.6923,6.1674,48.846,54.4574,11.4879,33.6954,37.68,11.8253,8.8474
Ev559J8sYhJBGQAcohEDshMRkWWPCJqUOMcZPo0vZQ8,testB,30.4612,25.1315,17.4968,26.5061,21.9504,17.1873,48.7379,44.7832,8.1144,32.2135,30.9862,3.81,11.6521
Cnx_3RZkrvCxS-9dQAN635WAesZY1gjRST5V7FYWUS8,testB,26.1654,25.9228,0.9274,23.2227,22.6416,2.5023,47.3023,46.1932,2.3445,34.0621,31.9618,6.1659,2.985
F6wa6igx2BT2MGn7VoI_6_P7iJ-Nwqb2kRl690PpyFc,testB,23.7412,25.0897,5.6802,22.5328,21.914,2.7464,46.052,44.7088,2.9166,33.1547,30.9347,6.6957,4.5097
DLh97j9lZlhTpcQUEbknAYhOwPt2kCm38I51myoU31g,testB,33.6374,34.191,1.6458,28.4109,29.8633,5.112,62.8834,60.9269,3.1113,42.8261,42.1563,1.564,2.8583
FJiz276i4gOtso-HxLnNh6aeMv-pmOYV-u_40s_tuRE,testB,25.8992,25.0935,3.1108,23.1828,21.9173,5.459,51.2759,44.7155,12.7943,34.4184,30.9394,10.1082,7.8681
DL_WAdynzJel4FVSUAOJqQAjVrOc_Me8LZa4al2ZqXE,testB,25.0121,26.842,7.316,23.1968,23.4444,1.0677,51.7443,47.8312,7.5624,35.1125,33.0951,5.7453,5.4228
FlJ6-rg-jFweEckuyjjAv8WKCUezmttg_udsSCjFXdg,testB,26.3261,25.4436,3.3524,22.5785,22.2231,1.5743,49.7732,45.3393,8.9082,36.0875,31.371,13.0697,6.7261
G39-mpOUVw6Y2ZSibqFq0W0pHcE78KQj7GQKYb4-tec,testB,39.8551,40.7295,2.194,34.4642,35.5742,3.2206,72.2693,72.5782,0.4275,50.6686,50.218,0.8894,1.6829
EAWw2QfMPSiBeTdY3qxp7D4IFYFNzY8JgfekYkA8xMc,testB,30.4252,28.124,7.5634,25.9096,24.5642,5.1925,55.6084,50.1157,9.8775,37.0842,34.6758,6.4944,7.282
EVXFFYf95mgXGg2zze_8SymNla9zM3xx-GqGqfyFFb8,testB,29.6449,29.6581,0.0444,25.1868,25.9041,2.8479,53.8891,52.8494,1.9293,35.702,36.5673,2.4237,1.8113
EkVn3tUr9ADKeys1uEqhD5kw-BoAtjHKtWwOrUMWMDg,testB,30.7358,37.8648,23.1942,27.1409,33.072,21.853,49.0771,67.4733,37.4843,34.602,46.6858,34.9223,29.3634
GR0OfDwU5g67sz2zOj5aMhSgH7dbefnoTZVd-wlrp-o,testB,30.3079,35.4991,17.1284,27.9612,31.0058,10.8886,54.5973,63.2578,15.8625,40.1331,43.7691,9.0598,13.2348
Eju1_wRfN5KKQP0Ca-VPlDx0iit-xJ3wxH7EM-Xs8NY,testB,24.7946,24.7243,0.2836,22.8913,21.5948,5.6636,48.4003,44.0576,8.9726,32.0029,30.4841,4.7458,4.9164
G_BvRqeilfd-QcsunGbp420g3hBQUozky4eae3q-aWU,testB,24.5185,27.1248,10.6299,22.4967,23.6915,5.3108,47.0862,48.3353,2.6526,34.0074,33.4439,1.6569,5.0626
EyXlLXKS0K0XLKpbVUaBdR7e1G8xVRSc63G42DqViwU,testB,25.3035,26.3225,4.0269,22.2444,22.9907,3.355,48.5171,46.9055,3.3217,35.3081,32.4546,8.0817,4.6963
ExlRs_DoqMdlnIhGWQ9PhyD--VGy4HPJuslo4_u1F3w,testB,28.4943,27.9481,1.9168,24.7582,24.4106,1.4041,51.7855,49.8023,3.8296,34.5814,34.459,0.3539,1.8761
FNTXosSAuG8yRrIN7DQbSyylJ4a0o-G_4hK2iWCHg2o,testB,34.6384,33.9691,1.9322,30.3738,29.6694,2.319,57.4563,60.5314,5.3521,40.5106,41.8826,3.3868,3.2475
Gxn8HOPPjfVFBVYSwGteHXwwPnv1E8SyLtc-bxXt5i4,testB,32.9783,32.7359,0.7351,27.8552,28.5923,2.6463,57.8134,58.3339,0.9003,37.3477,40.3621,8.0713,3.0883
H5G3OHLXxiN1XKFqza7ZUnUv2chIpEt5bXpvF7eDW3Q,testB,31.825,28.5698,10.2286,27.0633,24.9535,7.7957,50.097,50.91,1.6228,35.0792,35.2255,0.4168,5.016
GOxxOMY0zUtqmNpuxACcwgm1UTpoSUExzmfLn0DEpkA,testB,25.4986,26.6363,4.4616,22.3252,23.2648,4.2084,47.1343,47.4646,0.7008,34.2638,32.8415,4.1509,3.3804
FNC89HJ3V08ITqMLZJpnLnYKgpUrhFt-bf3l7lmlXCg,testB,29.7928,26.1514,12.2225,25.6718,22.8413,11.0257,52.8875,46.6007,11.8872,40.8649,32.2437,21.0968,14.058
GnIrZIVkkbdXzkDmCry74cxFi4LIWwl2S44x5a8_DKI,testB,29.3834,28.1512,4.1935,26.6967,24.5879,7.8989,54.6745,50.1641,8.2496,38.1621,34.7093,9.0477,7.3474
GL4czIdF7siAH4SMs4buOGaFb48mKGeB8av3wzSRUww,testB,34.8514,37.0721,6.3719,29.6237,32.3797,9.3031,54.3967,66.0607,21.4426,39.4212,45.7085,15.9488,13.2666
HaE2Jiu7OrRAJrWV2k6EHxguAzayIdgigQFgAO4lK_Y,testB,30.8411,29.9982,2.7333,25.0734,26.2011,4.4977,49.9071,53.4554,7.1097,36.5387,36.9866,1.2259,3.8917
GcgfIRxHFeGgadhpsTw7a5bhm_K3rxDKn8uBDytZ9p0,testB,37.4278,32.7488,12.5014,30.7796,28.6036,7.0695,71.3781,58.357,18.2425,45.1594,40.3781,10.5877,12.1003
HXEJFm3DQqE9mcEDxke3dpTOZKF69YgoojIIN5AlW9c,testB,27.6027,24.2645,12.0937,27.7232,21.1932,23.5544,49.6194,43.2382,12.8603,32.9411,29.9172,9.1798,14.4221
IGrg9yndQwo4NQP8Y6-gMZOXHdE6vlEDIlS4G6baKPs,testB,26.4325,27.6381,4.5609,23.6946,24.1398,1.8787,52.6886,49.2498,6.5266,35.5007,34.0767,4.0111,4.2443
HWfg0CiSonnq7E6tGpyVuy9_c8-o11_7H9LcI4MmqUk,testB,28.5285,31.6114,10.8066,26.0557,27.6102,5.966,48.3836,56.3302,16.424,33.6269,38.9757,15.9064,12.2757
I7T7u9B89_G9v5RY380Q3n7yaScyr6KVXploESnm1jE,testB,26.1348,26.0674,0.2576,25.3289,22.7679,10.1109,53.1859,46.451,12.6629,36.3072,32.1402,11.4772,8.6271
H8jB3UHeLJWmknB1gVWrteMIRwI2JOXYnglAz_t4pTM,testB,30.5506,30.6879,0.4491,26.0194,26.8035,3.0138,56.5806,54.6844,3.3514,36.2916,37.837,4.2583,2.7681
J3AcXhg5f2mr5qRSKD_-CH7jL-hw6HDz9lx_HiYYra8,testB,29.6034,28.8647,2.4954,26.7418,25.2111,5.7239,49.6039,51.4356,3.6927,34.1218,35.5891,4.3001,4.053
I6SMIUIACvpEJpx63AVVaj4tKdJbsw9DpyWK2r94GgQ,testB,26.8927,25.5221,5.0967,23.686,22.2916,5.8869,53.8733,45.4793,15.581,36.4566,31.4678,13.6841,10.0622
I5GFuCtUHboX3aGbon_rYuCPxc8wyUZohwvvPB24j-s,testB,25.5029,24.1681,5.2342,21.5797,21.109,2.1811,52.6549,43.0664,18.2101,35.6375,29.7983,16.3849,10.5026
K20rwey6FcUr2WrbkeJ87KkUW2q6L0-wgR6JT5iy-G4,testB,27.3552,28.7584,5.1294,24.0483,25.1183,4.4491,51.9368,51.2461,1.3298,36.1756,35.458,1.9837,3.223
Ic0j0RLvA-z6dJaMm0XhW7XOBxhjzZEK91k3mx-hO8c,testB,28.7258,27.222,5.235,27.0885,23.7763,12.2273,46.7902,48.5083,3.6719,34.9413,33.5637,3.9426,6.2692
IefaN1ApNHVmqq0lHr9A-pcgxk-ZdPO6DZriRK-C1JU,testB,29.8219,26.9235,9.7192,24.7739,23.5156,5.0792,53.4493,47.9764,10.2395,37.021,33.1956,10.3331,8.8427
IRRl47RhJx43fBiKc_DSNTeLOQhCIkhwr-_xQPBqzyU,testB,26.4962,27.6006,4.1683,23.5914,24.1071,2.1859,53.0215,49.1831,7.2393,36.2435,34.0306,6.1057,4.9248
JRR3QqiLd_qFK4-oscVuxqw1tiVs027yGRDtWW3qFVg,testB,27.0336,27.8433,2.995,25.0753,24.319,3.0161,50.8981,49.6155,2.52,34.2243,34.3298,0.3082,2.2098
JpAYFyDkWKxxJ_CEJLW7J6pAHNDENq07_NSFgTN2K4E,testB,23.5499,26.967,14.5101,21.3422,23.5537,10.3622,46.8888,48.054,2.4851,33.0204,33.2493,0.6933,7.0127
KGzJCosVL4DMUh9g-nEl4D_7TwPBCQ6hipd87aOxtWw,testB,28.7749,28.9152,0.4876,24.7014,25.2552,2.242,52.84,51.5256,2.4876,34.8522,35.6514,2.293,1.8775
